AIRLINE_NAME,ARR_DELAY,DEP_DELAY
Allegiant Air,21.8125,20.875
Frontier Airlines Inc.,21.11242603550296,24.94674556213018
Spirit Air Lines,9.349019607843138,13.701960784313725
PSA Airlines Inc.,9.209068010075567,12.664987405541561
American Airlines Inc.,7.087962962962963,11.63966049382716
JetBlue Airways,6.975186104218363,10.540942928039703
Mesa Airlines Inc.,6.82262996941896,10.440366972477063
ExpressJet Airlines LLC,5.347517730496454,10.794326241134751
United Air Lines Inc.,5.140732265446224,9.51487414187643
Republic Airline,4.679723502304148,8.46774193548387
Endeavor Air Inc.,4.412607449856734,10.085959885386819
Southwest Airlines Co.,4.179168915272531,10.61252023745278
Envoy Air,4.058375634517766,6.786802030456853
SkyWest Airlines Inc.,2.9443430656934306,5.956204379562044
Virgin America,1.08,3.28
Hawaiian Airlines Inc.,-1.09,0.21
Alaska Airlines Inc.,-1.6112852664576802,2.3134796238244513
Delta Air Lines Inc.,-1.6189376443418013,5.747498075442648
